"","name", "dam", "sire", "sex", "year"
"1555","Annwyn Glasshouse A Bit Of Voodoo","Glasshouse Two Bit Ante PT JHD","Cardiridge Red Hot Lover"," Female", 2012 
"1556","Annwyn Glasshouse Love A Rainy Nite","Yardican IFly ROMG ROMV-G","Cardiridge Red Hot Lover"," Male", 2011 
"1557","Annwyn Hot Wahini","Cardiridge Yardican Witchy Woman","Rainbow's Macwallace Jw Red"," Female", 2009 
"1558","Annwyn Hotter Than Ell","Cardiridge Yardican Witchy Woman","Rainbow's Macwallace Jw Red"," Female", 2009 
"1559","Annwyn Kaschew Kachina Dancer","Cardiridge Yardican Witchy Woman","Rainbow's Macwallace Jw Red"," Female", 2009 
"1560","Annwyn Menehune","Davenitch Rockamundo","Twinroc Max-In-A-Million ROMs"," Female", 1995 
"1561","Annwyn Moon Turns To Gold","Cardiridge Yardican Witchy Woman","Rainbow's Macwallace Jw Red"," Female", 2009 
"1562","Annwyn Play With Fire","Cardiridge Yardican Witchy Woman","Rainbow's Macwallace Jw Red"," Female", 2009 
"1563","Annwyn Red Ryder","Cardiridge Yardican Witchy Woman","Rainbow's Macwallace Jw Red"," Male", 2009 
"1564","Annwyn Rob Roy","Davenitch Rockamundo","Twinroc Max-In-A-Million ROMs"," Male", 1995 
"1565","Annwyn Switzer's Bonus","Davenitch Rockamundo","Twinroc Max-In-A-Million ROMs"," Male", 1995 
"1566","Annwyn Towanda","Davenitch Rockamundo","Twinroc Max-In-A-Million ROMs"," Female", 1995 
"1567","Annwyn Whole Lotta Lovin","Cardiridge Yardican Witchy Woman","Rainbow's Macwallace Jw Red"," Male", 2009 
"1568","Another Delight","Delightful Bambi","Owen of Bealclose"," Female", 1952 
"1569","Anotherdelight","Claudia Cardi","Sirax Copperfield"," Female", 1979 
"1570","Anselmi","Tasakin Camilla","Tasakin Dumbo"," Male", 1994 
"1571","Antal Aneurin Cardi","Valjax Midnight Starr","Valjax Damon Leroy"," Male", 
"1572","Antal Black Bobby","Valjax Midnight Starr","Wingrove Yanto Bach"," Male", 
"1573","Antal Jasper","Antal Melissa Anne","Antal Tarrant Pegasus"," Male", 
"1574","Antal Melissa Anne","Valjax Golden Girl","Wingrove Yanto Bach"," Male", 
"1575","Antal Minstrel Boy","Antal Melissa Anne","Antal Aneurin Cardi"," Male", 
"1576","Antal Tarrant Pegasus","Westavon Griselda Sue","Westavon Samuel"," Male", 
"1577","Antares vom Forstwinkel","Aster vom Holledauer Bockerl","Ethan from the Wonderful Oz"," Male", 2011 
"1578","Anthony v.d.Bockmuhle","Floatin' Pollyanna","Indiana Jones Earl v.d Griffelhof"," Male", 1996 
"1579","Antiacolotus","Fun Lady de la Caverne des Anges","Antoc Gregory"," ", 1994 
"1580","Antoc Almost An Angel At Kincroft","Antoc Angel Delight","Ringinglow Troyson of Gorthleck"," Female", 1994 
"1581","Antoc Angel Delight","Antoc Cinnabar","Antoc Upper Crust"," Female", 1987 
"1582","Antoc Architect","Antoc Audacity","Antoc Guardian Angel"," Male", 1998 
"1583","Antoc Audacity","Antoc Moonstone","Rikarlo Auran"," Female", 1992 
"1584","Antoc Backbencher","Salvenik Seven Wishes For Antoc","Cardhew Superted JW"," Male", 2005 
"1585","Antoc Be Jolly at Cardhew","Salvenik Seven Wishes For Antoc","Cardhew Superted JW"," Female", 2005 
"1586","Antoc Best Wishes To Norfranton","Salvenik Seven Wishes For Antoc","Cardhew Superted JW"," Female", 2005 
"1587","Antoc Bond With Me","Salvenik Seven Wishes For Antoc","Cardhew Superted JW"," Female", 2005 
"1588","Antoc Cinnabar","Lees Jet","Kentwood Elwyn"," Female", 1982 
"1589","Antoc Dangerman","Antoc Audacity","Antoc Guardian Angel"," Male", 1996 
"1590","Antoc Dedication","Antoc Audacity","Antoc Guardian Angel"," Female", 1996 
"1591","Antoc Did You Ever","Antoc Audacity","Antoc Guardian Angel"," Female", 1996 
"1592","Antoc Double-O-Seven For Salvenik","Antoc Audacity","Antoc Guardian Angel"," Male", 1996 
