"","name", "dam", "sire", "sex", "year"
"0","A Blackstone Westwyn Baby","Westwyn Dindael Mercedes","Luray Blackstones Treat CDX NA NAJ"," Female", 1990 
"1","A Blue Day Pleasure from The Small Hill Rebels","Bonnie from the Stone of Scone","Blåtirans Gandalf The Gray"," Male", 2013 
"2","A Country Penny Saved","Silver Creek's Bit O' Honey","Silver Creek Imp Of Rhydowen"," Female", 1981 
"3","A Countrys Autumn Dancer","A Country Penny Saved","Agawop Karaway Coriander"," Female", 1983 
"4","A Gardner's Delight","Twinroc Steel Magnolia HSAs","Davenitch Peer of Pluperfect ROMg"," Female", 1993 
"5","A Lone Star Angus CD","Sisterwood's Angel 'N Disguise","Windshyre's Personna"," Male", 2000 
"6","A Solar Flare for Lily Crown","Kherders Madrai Brusnika","Aethwy Ultramarine"," Female", 2017 
"7","A Summers Touch Of Daisy","Adams Acres Holiday Charm AM CD ROMb","Ula Mauna's Sir Gawaine"," Female", 1999 
"8","A Twelve-Point Riff","Sisterwood's Happy Angel Wings ROMb","Sisterwood's Magic Moment"," Male", 1991 
"9","Åaleasbrindleyobplet","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Male", 1980 
"10","Åbolitionofxanthippes","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Female", 1980 
"11","Ågirlleassoftredsphinx","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Female", 1980 
"12","Åhsmokysniffylemonsqueezer","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Male", 1980 
"13","Årsharpasyataganscoobydoo","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Male", 1980 
"14","Åvangardangelface�hdedy","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Male", 1980 
"15","Aamut�hti","Imago's One Pretty Finn","Imago's Xmas Party"," Female", 2010 
"16","Aaron aus dem Feenring","Audrey from the Stone of Scone","Gowerston Graduate"," Male", 2012 
"17","Aasteds Always Add Bubbly Blue","Aasteds Merry Marimekko","Trafox Blue Of Diamonds"," Male", 2014 
"18","Aasteds Angel Eyes","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Male", 2018 
"19","Aasteds Arthur Pendragon","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"20","Aasteds Big Love","Vistruphus Haldora","Rhiwelli Enigma"," Male", 2017 
"21","Aasteds Black Knight","Bobass Aya","Georgeous George Controversia"," Male", 2009 
"22","Aasteds Cant Buy Me Love","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"23","Aasteds Captain Hook","Bobass Aya","Georgeous George Controversia"," Male", 2009 
"24","Aasteds Casino Royale","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"25","Aasteds Cinderella","Bobass Aya","Georgeous George Controversia"," Female", 2009 
"26","Aasteds Dancing Queen","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"27","Aasteds Diamonds are Forever","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"28","Aasteds Dressed For Success","Vistruphus Haldora","Rhiwelli Enigma"," Female", 2017 
"29","Aasteds Fascinating Fazer","Bobass Aya","Mandylay's Tribune"," Male", 2011 
"30","Aasteds Fighting Friend","Avonaire Kindred Spirit","Mosegården's Local Hero"," Male", 2011 
"31","Aasteds Fighting Hero","Avonaire Kindred Spirit","Mosegården's Local Hero"," Male", 2011 
"32","Aasteds Fighting Spirit","Avonaire Kindred Spirit","Mosegården's Local Hero"," Female", 2011 
"33","Aasteds Fighting Star","Avonaire Kindred Spirit","Mosegården's Local Hero"," Male", 2011 
"34","Aasteds Fighting Survivor","Avonaire Kindred Spirit","Mosegården's Local Hero"," Male", 2011 
"35","Aasteds Get Excited","Vistruphus Haldora","Rhiwelli Enigma"," Male", 2017 
"36","Aasteds Goldeneye","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"37","Aasteds Got The Look","Vistruphus Haldora","Rhiwelli Enigma"," Female", 2017 
"38","Aasteds Have A Dream","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"39","Aasteds Head Over Heels","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"40","Aasteds Here Comes The Sun","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"41","Aasteds Honey Honey","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"42","Aasteds Joyride","Vistruphus Haldora","Rhiwelli Enigma"," Female", 2017 
"43","Aasteds Just Be Brilliantly Blue","Aasteds Merry Marimekko","Trafox Blue Of Diamonds"," Female", 2014 
"44","Aasteds Let It Be","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"45","Aasteds Little Mermaid","Bobass Aya","Georgeous George Controversia"," Female", 2009 
"46","Aasteds Living Daylights","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"47","Aasteds Look Sharp","Vistruphus Haldora","Rhiwelli Enigma"," Male", 2017 
"48","Aasteds Love Light","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Male", 2018 
"49","Aasteds Lovely Lapin Kulta","Bobass Aya","Mandylay's Tribune"," Male", 2011 
"50","Aasteds Lucy In The Sky","Bobass Aya","Georgeous George Controversia"," Female", 2010 
"51","Aasteds Mamma Mia","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"52","Aasteds Merry Marimekko","Bobass Aya","Mandylay's Tribune"," Female", 2011 
"53","Aasteds Moonraker","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"54","Aasteds One And Only","Aasteds Quantum of Solace","Bobass Aladin"," Male", 2016 
"55","Aasteds Penny Lane","Bobass Aya","Georgeous George Controversia"," Female", 2010 
"56","Aasteds Prince Charming","Bobass Aya","Georgeous George Controversia"," Male", 2009 
"57","Aasteds Princess Fiona","Bobass Aya","Georgeous George Controversia"," Female", 2009 
"58","Aasteds Quantum of Solace","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Female", 2013 
"59","Aasteds Rock Me","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Male", 2018 
"60","Aasteds Sergeant Pepper","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"61","Aasteds Sir Lancelot","Bobass Aya","Georgeous George Controversia"," Male", 2009 
"62","Aasteds Skyfall","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Female", 2013 
"63","Aasteds Small Talk","Vistruphus Haldora","Rhiwelli Enigma"," Female", 2017 
"64","Aasteds Strawberry Fields","Bobass Aya","Georgeous George Controversia"," Female", 2010 
"65","Aasteds Super Trouper","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Male", 2018 
"66","Aasteds Take A Chance On Me","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"67","Aasteds Thunderball","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"68","Aasteds Twist And Shout","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"69","Aatu","Imago's One Pretty Finn","Imago's Xmas Party"," Male", 2010 
"70","Abarta Shining Sirius","Fest Delicja","Damian Corlan Gi"," Female", 2010 
"71","Abba Zgrabna Controversia","Uchachana Uchatka Controversia","Faarup Kawasaki"," Female", 2012 
"72","Abbey Kasmir Moravia","Rotshcard Auronelain","Highlander Cymraeg Ci"," Female", 2011 
"73","Abbey Lige Godlove","Chandler's Pym Of Pluperfect","Pluperfect Pennywise ROMs"," Female", 1996 
"74","Abbie","Faarup Yuppie","Antoc Backbencher"," Female", 2007 
"75","Abby","",""," Female", 2002 
"76","Abby Blue Dominquez","Larchmonts Brynna","Shadowalk PV Eclipse Afara"," Female", 2000 
"77","Abby Jones","Chandler's Pym Of Pluperfect","Pluperfect Garvins Peerless ROMb"," Female", 1992 
"78","Abby Of The Brave Corner","Twymyn of the Green Beret","Lees Blackberry"," Female", 
"79","Abby Pia Til Heddy","Cardelin's Happy Heddy","Cardelin's Great Gulliver"," Female", 1993 
"80","Abby Road Camden's Cardif CD","Eu Ben Oaks Jubilee","Dilwel Gwersyll"," Female", 1970 
"81","Abby Road Gold Dust","",""," Female", 1971 
"82","Abby Road Goldwyn Of Dahl Farm","",""," Female", 
"83","Abby Road Kiska Of Trujer","Trudi Ap Falcon Heights","Dilwel Gwersyll"," Female", 1969 
"84","Abby Road Little Joe","",""," Male", 1972 
"85","Abby Tailorscardi","Beautiful Dream Kasmir Moravia","Hashfan Villfred"," Female", 2017 
"86","Abbygail v.d. Bockmuhl","Floatin' Pollyanna","Indiana Jones Earl v.d Griffelhof"," Female", 1996 
"87","Abcar Prins v.d. Griffelhof","Cymro's Magic Lady","Robgwen Something Special"," Male", 1987 
"88","Abel","Faarup Yuppie","Antoc Backbencher"," Male", 2007 
"89","Abel of Maurilyn","Sweet Ja-Rae of Kimchella","Dark Dandy of Kolguer"," Male", 1971 
"90","Aber's Little Blue Fitchman","Schmitt's My Blue Skies","Gatewyns Art of Styles"," Male", 2001 
"91","Aberaeron McTrent","Gwynedd Ffraid","Yr Ddraig Goch"," Male", 1967 
"92","Aberdare","Rhydowen Remy Julienne ROMb","Kentwood Luc ROMg"," Male", 1991 
"93","Aberdare I'm Rhydowen High","Rhydowen Remy Julienne ROMb","Kentwood Luc ROMg"," Female", 1993 
"94","Aberdare II","Toromar Elizabeth","Toromar Bromley"," Female", 1994 
"95","Aberdare Isabella","Rhydowen Remy Julienne ROMb","Kentwood Luc ROMg"," Female", 1993 
"96","Aberdare Mr Pip Of Rhydowen","Rhydowen Remy Julienne ROMb","Kentwood Luc ROMg"," Male", 1991 
"97","Aberdare Rhydowen Doppler","Rhydowen Remy Julienne ROMb","Kentwood Luc ROMg"," Male", 1991 
"98","Aberdare Rhydowen My Fashen","Rhydowen Remy Julienne ROMb","Kentwood Luc ROMg"," Male", 1991 
"99","Aberdare Ruppert Morris","Rhydowen Remy Julienne ROMb","Kentwood Luc ROMg"," Male", 1993 
"100","Aberdovey","Aberdovey's Queen Rocky Top","Trailwyn Aberdovey Uotobnpix"," Female", 1999 
"101","Aberdovey Anglesey Primrose","Aberdovey Hey Jude Rhydowen","Kentwood Mintys"," Female", 1996 
"102","Aberdovey Benign Ruler","Pluperfect Prim N' Proper","Vestavia's Marcus Aurelius"," Male", 1989 
"103","Aberdovey Bentley","Pluperfect Prim N' Proper","Kentwood Luc ROMg"," Male", 1990 
"104","Aberdovey Bess","Pluperfect Prim N' Proper","Kentwood Luc ROMg"," Female", 1990 
"105","Aberdovey Black Moon Kinser","Rhydowen's Formal Affair","Locksleyhall Laird ROMg"," Male", 1989 
"106","Aberdovey Bradley","Grangefield Inquisitive","Llandaff Harlem Fox Trot (AI) RN"," Male", 2007 
"107","Aberdovey Cadnuclun Harlem Nocturne","Cadnoclun Aberdovey Lily Of The Valley","Aberdovey Harlem Globe Trotter"," Female", 2013 
"108","Aberdovey Cavalryman","Aberdovey Hey Jude Rhydowen","Kentwood Mintys"," Male", 1996 
"109","Aberdovey Cody","Aberdovey Elite Designer Lil","Sisterwood's Winsome Will ROMs"," Female", 1999 
"110","Aberdovey Donna Karan","Aberdovey Elite Designer Lil","Sisterwood's Winsome Will ROMs"," Female", 1999 
"111","Aberdovey Elite Designer Lil","Rhydowen Elite Designer","Zircon's Jack of Hearts AM CD ROMb"," Female", 1993 
"112","Aberdovey Genevieve","Aberdovey's Primped N' Proper","Rhydowen Cymric"," Female", 1994 
"113","Aberdovey Guinevere","Pluperfect Prim N' Proper","Kentwood Luc ROMg"," Female", 1990 
"114","Aberdovey Harlem Globe Trotter","Grangefield Inquisitive","Llandaff Harlem Fox Trot (AI) RN"," Male", 2007 
"115","Aberdovey Hey Jude Rhydowen","Pluperfect Prim N' Proper","Kentwood Luc ROMg"," Female", 1990 
"116","Aberdovey Kee Bear Ms Marcus","Aberdovey's Queen Rocky Top","Trailwyn Aberdovey Uotobnpix"," Female", 1999 
"117","Aberdovey La Femme Nikita","Aberdovey Elite Designer Lil","Sisterwood's Winsome Will ROMs"," Female", 1998 
"118","Aberdovey Lady Short Stuff","Pluperfect Prim N' Proper","Kentwood Luc ROMg"," Female", 1990 
"119","Aberdovey Lord Tristan Glynn","",""," Male", 1985 
"120","Aberdovey Mclea Heartbreaker","Grangefield Inquisitive","Llandaff Harlem Fox Trot (AI) RN"," Female", 2007 
"121","Aberdovey Midnight Macduff","Happy's Garnet","Vestavia's Marcus Aurelius"," Male", 1986 
"122","Aberdovey Oreo","Aberdovey's Queen Rocky Top","Trailwyn Aberdovey Uotobnpix"," Male", 1999 
"123","Aberdovey Play It Again Sam","Aberdovey's Coco Chanel","Sno-Shu Grizzly Bear ROMb"," Male", 2002 
"124","Aberdovey Rhiannon Rhydowen","Aberdovey Hey Jude Rhydowen","Kentwood Mintys"," Female", 1996 
"125","Aberdovey Rhydowen Life Of R","Aberdovey Hey Jude Rhydowen","Kentwood Mintys"," Male", 1996 
"126","Aberdovey Rock Of Steel Too","Aberdovey Hey Jude Rhydowen","Kentwood Mintys"," Male", 1996 
"127","Aberdovey Saks Fifth Avenue","Aberdovey Elite Designer Lil","Sisterwood's Winsome Will ROMs"," ", 1999 
"128","Aberdovey Sangre Azul","Pluperfect Prim N' Proper","Rhydowen Cymric"," Male", 1993 
"129","Aberdovey Shamus Irons","Aberdovey's Primped N' Proper","Rhydowen Cymric"," Male", 1994 
"130","Aberdovey Shortstop","Aberdovey Elite Designer Lil","Sisterwood's Winsome Will ROMs"," ", 1999 
"131","Aberdovey Sisterwood's Dior","Aberdovey Elite Designer Lil","Sisterwood's Winsome Will ROMs"," Female", 1998 
"132","Aberdovey Sisterwood's Gucci","Rhydowen Elite Designer","Zircon's Jack of Hearts AM CD ROMb"," Male", 1993 
"133","Aberdovey Starlight Coast AM CD RA","Aberdovey's Queen Rocky Top","Trailwyn Aberdovey Uotobnpix"," Female", 1999 
"134","Aberdovey Strawberry Jam","Aberdovey Hey Jude Rhydowen","Kentwood Mintys"," Female", 1996 
"135","Aberdovey Suzyq Of Rhydowen","Aberdovey Hey Jude Rhydowen","Kentwood Mintys"," Female", 1996 
"136","Aberdovey Taliesin's Chadeau","Pluperfect Prim N' Proper","Rhydowen Cymric"," Male", 1993 
"137","Aberdovey Tom Lady Jane","Aberdovey's Queen Rocky Top","Trailwyn Aberdovey Uotobnpix"," Female", 1999 
"138","Aberdovey Victoria Rose","Pluperfect Prim N' Proper","Vestavia's Marcus Aurelius"," Female", 1989 
"139","Aberdovey's Archibald","Pluperfect Prim N' Proper","Rhydowen Cymric"," Male", 1993 
"140","Aberdovey's Autumn Penelope","Rhydowen's Formal Affair","Rhydowen Philadelphia Flash ROMb"," Female", 1991 
"141","Aberdovey's Bartles And James","Happy's Garnet","Vestavia's Marcus Aurelius"," Male", 1986 
"142","Aberdovey's Cappachino","Aberdovey's Queen Rocky Top","Trailwyn Aberdovey Uotobnpix"," Male", 1999 
"143","Aberdovey's Captain Kidd","Pluperfect Prim N' Proper","Rhydowen Cymric"," Male", 1993 
"144","Aberdovey's Cleopatra","Aberdovey's Queen Rocky Top","Trailwyn Aberdovey Uotobnpix"," Female", 2001 
"145","Aberdovey's Coco Chanel","Aberdovey Elite Designer Lil","Sisterwood's Winsome Will ROMs"," Female", 1998 
"146","Aberdovey's Crosstown Calypso","Aberdovey Hey Jude Rhydowen","Kentwood Mintys"," Female", 1996 
"147","Aberdovey's Friendly Phoebe","",""," Female", 1985 
"148","Aberdovey's Infatuation","Grangefield Inquisitive","Llandaff Harlem Fox Trot (AI) RN"," Female", 2007 
"149","Aberdovey's Java","Aberdovey's Queen Rocky Top","Trailwyn Aberdovey Uotobnpix"," Male", 1999 
"150","Aberdovey's Jazz'n Jack","Aberdovey's Primped N' Proper","Rhydowen Cymric"," Male", 1994 
"151","Aberdovey's Ladye O' Mae","Rhydowen's Formal Affair","Rhydowen Philadelphia Flash ROMb"," Female", 1991 
"152","Aberdovey's Lightning Levi","Aberdovey's Queen Rocky Top","Trailwyn Aberdovey Uotobnpix"," Male", 1999 
"153","Aberdovey's Pippin Galadriel","Happy's Garnet","Vestavia's Marcus Aurelius"," Female", 1986 
"154","Aberdovey's Primped N' Proper","Pluperfect Prim N' Proper","Kentwood Luc ROMg"," Female", 1990 
"155","Aberdovey's Prince William","Aberdovey's Primped N' Proper","Rhydowen Cymric"," Male", 1994 
"156","Aberdovey's Queen Rocky Top","Aberdovey's Primped N' Proper","Rhydowen I Be Jammin NA TT ROMb"," Female", 1996 
"157","Aberdovey's Razzledazzle","Aberdovey's Primped N' Proper","Rhydowen Cymric"," Male", 1994 
"158","Aberdovey's Roman Aurelius","",""," Male", 1985 
"159","Aberdovey's Tell A Tale","Grangefield Inquisitive","Llandaff Harlem Fox Trot (AI) RN"," Male", 2007 
"160","Aberdovey's Thistle At Rapier","Aberdovey's Primped N' Proper","Rhydowen Cymric"," Female", 1994 
"161","Aberdovey's Tuff Stuff","Happy's Garnet","Vestavia's Marcus Aurelius"," Male", 1986 
"162","Aberdovey's Tyler's Tops Stnly","Rhydowen's Formal Affair","Locksleyhall Laird ROMg"," Male", 1989 
"163","Aberdoveys Urn Field Amber","Happy's Garnet","Vestavia's Marcus Aurelius"," Female", 1986 
"164","Aberdovy Harlem Jazzman","Grangefield Inquisitive","Llandaff Harlem Fox Trot (AI) RN"," Male", 2007 
"165","Aberdovy's The Raconteur","Shiloh's Josie of Raconteur","Vestavia's Marcus Aurelius"," Female", 1990 
"166","Aberfan Ap Keeche","Petite Of Rocky Springs","Gwenhwyfar's Steffan"," Female", 
"167","Abergavenny","",""," Female", 1987 
"168","Aberlee Far And Away","Willowglen Charisma","Barclay Beckrow Prince"," Male", 
"169","Aberlee Imagine That","Korgewel Kerrilyne","Jezalin Phoenix of Joseter"," Male", 
"170","Aberlyn Beau Bruno","Aberlyn Sudetta Queen","Glonoela Montanna"," Male", 
"171","Aberlyn Chester Lad","Aberlyn Sudetta Queen","Glonoela Montanna"," Male", 
"172","Aberlyn Coralee Rose","Aberlyn Princess Rosee","Hytare Glamour Boy"," Female", 
"173","Aberlyn Glomon Lad","Aberlyn Sudetta Queen","Glonoela Montanna"," Male", 
"174","Aberlyn Loralea Lass","Aberlyn Sudetta Queen","Glonoela Montanna"," Female", 
"175","Aberlyn Princess Rosee","",""," Female", 
"176","Aberlyn Sudetta Queen","Spotfield Shiona Lass","Hytare Chester Lad"," Female", 
"177","Aberwyvern Aelwyd Incorrigible","Aelwyd Aberwyvern Baklava","Aberwyvern Llanelidon"," Male", 1999 
"178","Aberwyvern Cedarstone Llanbedr","Aelwyd Judge Emily Murphy","Cedarstone's Rolls Royce"," Male", 1994 
"179","Aberwyvern Cleo Laine","Bluetrix Billie Holiday Blues","Aberwyvern Llanelidon"," Female", 1999 
"180","Aberwyvern Corwen","Finnshavn's Bawyni Midnite Toker","Finnshavn's Bill Mckie"," Female", 1985 
"181","Aberwyvern Duke Of York","Finnshavn's Bawyni Midnite Toker","Finnshavn's Bill Mckie"," Male", 1985 
"182","Aberwyvern Ella Fitzgerald","Bluetrix Billie Holiday Blues","Aberwyvern Llanelidon"," Female", 1999 
"183","Aberwyvern Eowyn","Aberwyvern Nigella Doesnt Bite","Be Afarwy George Pet Me"," Female", 2012 
"184","Aberwyvern John's Tweed Jacket","Islay's Georgina At Aberwyvern","Markwell's Peer Gynt"," Male", 
"185","Aberwyvern License To Grill","Cheysuli's Aberwyvern Bone Appetit","Olwdd Eli O Troublemaker"," Male", 2009 
"186","Aberwyvern Llanelidon","Aelwyd Judge Emily Murphy","Cedarstone's Rolls Royce"," Male", 1994 
"187","Aberwyvern Llanfyllin","Aelwyd Judge Emily Murphy","Cedarstone's Rolls Royce"," Female", 1994 
"188","Aberwyvern Nigella Doesnt Bite","Cheysuli's Aberwyvern Bone Appetit","Olwdd Eli O Troublemaker"," Female", 2009 
"189","Aberwyvern Patches CAN CD","Finnshavn's Bawyni Midnite Toker","Finnshavn's Bill Mckie"," Female", 1985 
"190","Aberwyvern Remembrance","Aberwyvern Cleo Laine","Bluetrix Son of Spuddie Wind"," Female", 2005 
"191","Aberwyvern Silver Seraph","Bluetrix Billie Holiday Blues","Aberwyvern Llanelidon"," Female", 1999 
"192","Aberwyvern Silver Spur","Bluetrix Billie Holiday Blues","Aberwyvern Llanelidon"," Male", 1999 
"193","Aberwyvern Sings The Blues","Bluetrix Billie Holiday Blues","Aberwyvern Llanelidon"," Female", 1999 
"194","Aberwyvern Wagner CD","Finnshavn's Bawyni Midnite Toker","Finnshavn's Bill Mckie"," Male", 1985 
"195","Aberystwyth","Tivy Floss","Toggy"," Male", 
"196","Aberystwyth Cadnoclun Thoroughly Modern Millie","Cadnoclun Aberdovey Lily Of The Valley","Aberdovey Harlem Globe Trotter"," Female", 2013 
"197","Aberystwyth's Nifty of Cledyn","Caergrawnt Echo Of Llanfair CD","Swansea Cricket Beau"," Male", 1972 
"198","Aberyswyth The Three Cedars","Red Charming Lady v.Boncilla","Bymil Black Treacle"," Male", 
"199","Abiding Avantgarde Dummles","Brawos Bis Bahama","Uszaki Big Beat"," Female", 2008 
"200","Abigail","Chandler's Brindle Bedazzler","Pecan Valley Stop Light"," Female", 2003 
"201","Abigail Of Legate's","Sisterwood's About Face","Bearwoods Jiminy Cricket"," Female", 1996 
"202","Abigail Scott Of S Acton","",""," Female", 1986 
"203","Abigail Tailorscardi","Beautiful Dream Kasmir Moravia","Hashfan Villfred"," Female", 2017 
"204","Abigail v.Boncilla","Cilla von Wassenaer","Red Oak's Black Dragon"," Female", 1980 
"205","Abigail v.d. Matten","Daisy v. Voerder L�ndchen","Jezalin Top Jester"," Female", 1985 
"206","Abigial David Of Cerridwen","Davenitch Rhiannon Latte","Kennebec Everybody Loves..."," Female", 2008 
"207","Able Berry v.d.Besthemer Molen","Maica v.d. Besthemer Molen","Kentwood Cedric"," Male", 
"208","Able Brenda v.d.Besthemer Molen","Maica v.d. Besthemer Molen","Kentwood Cedric"," Female", 
"209","Able Cedric v.d.Besthemer Molen","Maica v.d. Besthemer Molen","Kentwood Cedric"," Male", 
"210","Able Pedro v.d.Besthemer Molen","Maica v.d. Besthemer Molen","Kentwood Cedric"," Male", 
"211","Able Rodger v.d.Besthemer Molen","Maica v.d. Besthemer Molen","Kentwood Cedric"," Male", 
"212","Able Toby v.d.Besthemer Molen","Maica v.d. Besthemer Molen","Kentwood Cedric"," Male", 
"213","ABSOLUT PAUER","Zamok Svyatogo Angela Bina","APRIORI VIP BRITISH SPAY"," Male", 2019 
"214","Absolute Adorable","Imme's Faisty Filly","Imme's Impressive Blue"," Female", 2013 
"215","Absolutny Zdobywca Controversia","Uchachana Uchatka Controversia","Faarup Kawasaki"," Male", 2012 
"216","Absyrtos Blue Halfred","So Silver from Shiel","Silver Frodo from Shiel"," Male", 1964 
"217","Absyrtos Blue Hobbit","So Silver from Shiel","Silver Frodo from Shiel"," Male", 1964 
"218","Absyrtos Blue Hyfwyn","So Silver from Shiel","Silver Frodo from Shiel"," Female", 1964 
"219","Absyrtos Blue Katanja","So Silver from Shiel","Umberto v.d.Kreitenheide"," Female", 1967 
"220","Absyrtos Blue Keen Raxia","So Silver from Shiel","Umberto v.d.Kreitenheide"," Female", 1967 
"221","Absyrtos Blue Kimbel","So Silver from Shiel","Umberto v.d.Kreitenheide"," Male", 1967 
"222","Absyrtos Heulwen","So Silver from Shiel","Silver Frodo from Shiel"," Female", 1964 
"223","Absyrtos Hyf Cora","So Silver from Shiel","Silver Frodo from Shiel"," Female", 1964 
"224","Absyrtos Hylon Morilla","So Silver from Shiel","Silver Frodo from Shiel"," Female", 1964 
"225","Absyrtos Hynaws Akka","So Silver from Shiel","Silver Frodo from Shiel"," Male", 1964 
"226","Absyrtos Knight Caspar","So Silver from Shiel","Umberto v.d.Kreitenheide"," Male", 1967 
"227","Absyrtos Kymric Katja","So Silver from Shiel","Umberto v.d.Kreitenheide"," Female", 1967 
"228","Absyrtos Kymric Kreeble","So Silver from Shiel","Umberto v.d.Kreitenheide"," Female", 1967 
"229","Abundance Uszaki Virgo Vestalis","Arena Z Ticheho Udoli","Bertram Corlan Gi"," Female", 2009 
"230","Abydos All I Need To Know","Abydos HG Angel Girl RBD HT","Heart Of Gold Good Wilbarger RN HSAs NA NAJ OAP AJP"," Female", 2000 
"231","Abydos Bob's Brindle At Last","",""," Female", 2005 
"232","Abydos Bronze Griffin","Abydos HG Angel Girl RBD HT","Heart of Gold Tell Me No Lies CD RE PT MX AXJ AXP AJP OF NFP"," Male", 2004 
"233","Abydos Bruce The Brave OAP AJP OFP","Abydos Want My Carnival Now PT","Camelot Spirit Of Westwind"," Male", 2005 
"234","Abydos Clandestine Of Randel","Abydos Want My Carnival Now PT","Abydos Twofoursixoone Hugo CD"," Male", 2003 
"235","Abydos Delightful Delia","Abydos HG Angel Girl RBD HT","Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI"," Female", 1999 
"236","Abydos Golden Snitch","Abydos Here Comes Bertrand","Larchmont's Bogus ROMs"," Male", 2004 
"237","Abydos Gone Sailing","Abydos Here Comes Bertrand","Larchmont's Bogus ROMs"," Female", 2004 
"238","Abydos Guardian Of The Gate    HT","Redbuds Flamekist CD PT","Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI"," Male", 1997 
"239","Abydos Hand Me Wine N Dice","Abydos HG Angels Touch RBD HT","Heart Of Gold Saint Nicholas HT PT RN HCT JHD CGC"," Male", 1999 
"240","Abydos Heart And Soul","Abydos HG Angel Girl RBD HT","Heart Of Gold Good Wilbarger RN HSAs NA NAJ OAP AJP"," Male", 2000 
"241","Abydos Here Comes Bertrand","Abydos HG Angel Girl RBD HT","Heart Of Gold Good Wilbarger RN HSAs NA NAJ OAP AJP"," Female", 2000 
"242","Abydos Hermione","Abydos Here Comes Bertrand","Larchmont's Bogus ROMs"," Female", 2004 
"243","Abydos HG Angel Girl RBD HT","Redbuds Flamekist CD PT","Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI"," Female", 1997 
"244","Abydos HG Angels Touch RBD HT","Redbuds Flamekist CD PT","Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI"," Female", 1997 
"245","Abydos Hot! Don'T Tell Me","Abydos HG Angel Girl RBD HT","Heart of Gold Tell Me No Lies CD RE PT MX AXJ AXP AJP OF NFP"," Male", 2004 
"246","Abydos Hunkahunka Burnin Luv","Abydos Here Comes Bertrand","Larchmont's Bogus ROMs"," Male", 2004 
"247","Abydos Ima Keifer","Abydos Here Comes Bertrand","Larchmont's Bogus ROMs"," Female", 2004 
"248","Abydos Just Funnin'","Abydos Want My Carnival Now PT","Abydos Twofoursixoone Hugo CD"," Male", 2003 
"249","Abydos Lela","Abydos Want My Carnival Now PT","Camelot Spirit Of Westwind"," Female", 2005 
"250","Abydos Love Changes Evrythng","Abydos HG Angel Girl RBD HT","Heart Of Gold Good Wilbarger RN HSAs NA NAJ OAP AJP"," Male", 2000 
"251","Abydos Martin Guerre","Abydos HG Angel Girl RBD HT","Heart Of Gold Good Wilbarger RN HSAs NA NAJ OAP AJP"," Male", 2000 
"252","Abydos Midnite Rosie","Abydos Want My Carnival Now PT","Camelot Spirit Of Westwind"," Female", 2005 
"253","Abydos On A Whim","Abydos Want My Carnival Now PT","Abydos Twofoursixoone Hugo CD"," Female", 2003 
"254","Abydos Picards Digital Image","Abydos HG Angel Girl RBD HT","Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI"," Male", 1999 
