U.S. agricultural exports: calendar years 2000-2017 by Schedule B 10 digit codes 1/,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
,,,,,,,,,Million $,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
504000050,"BEEF TRIPE, FZ","46,965.0","218,948.0","257,078.0","254,829.0","162,003.0","245,585.0","297,276.0","363,902.0","90,208.0","73,466.0","68,247.0","87,158.0","95,185.0","113,877.0","141,325.0","148,874.0","135,130.0","130,660.0",
504000070,"BF INT,FZ,X SSGC","29,519.0","14,523.0","6,060.0","26,843.0",650.0,"2,178.0","2,254.0","3,510.0","4,628.0","5,884.0","10,300.0","6,763.0","11,773.0","15,976.0","15,871.0","13,751.0","12,340.0","17,458.0",
1602509020,"PREP MEALS,BEEF","16,149.0","20,130.0","17,172.0","19,203.0","4,379.0","17,338.0","27,694.0","36,698.0","42,733.0","38,538.0","43,737.0","47,633.0","49,316.0","45,877.0","44,782.0","41,166.0","37,032.0","37,274.0",
1602509500,"BEEF,PREP,PRES","54,673.0","52,993.0","70,177.0","84,498.0","39,489.0","59,224.0","68,633.0","77,901.0","84,519.0","74,514.0","91,654.0","117,627.0","125,109.0","174,441.0","236,388.0","234,804.0","180,072.0","178,692.0",
,Pork,"1,346.7","1,556.1","1,504.4","1,581.7","2,228.4","2,638.5","2,856.1","3,155.5","4,795.9","4,284.2","4,779.3","6,114.3","6,319.2","6,044.8","6,649.5","5,566.8","5,936.0","6,484.6",
203110000,"SWN CRC,FR,CH","111,443.0","90,726.0","118,345.0","79,633.0","92,595.0","93,849.0","119,875.0","120,803.0","53,702.0","10,571.0","20,225.0","32,383.0","45,922.0","23,134.0","15,734.0","11,007.0","21,387.0","8,716.0",
203121000,"HM,SH,PRC,FR,CH","36,385.0","47,350.0","45,166.0","43,439.0","71,858.0","95,698.0","77,519.0","66,393.0","87,874.0","114,717.0","108,723.0","199,480.0","144,592.0","190,739.0","239,904.0","160,148.0","244,558.0","298,089.0",
203129000,"HM/SH X PC,FR,CH","91,285.0","85,597.0","92,695.0","90,343.0","204,671.0","173,418.0","224,392.0","177,757.0","316,658.0","306,867.0","379,796.0","310,372.0","502,386.0","465,768.0","614,862.0","478,632.0","474,958.0","524,168.0",
203192000,"SWN MT,PRC,FR,CH","100,109.0","102,780.0","96,271.0","101,305.0","166,322.0","269,805.0","296,733.0","355,656.0","401,386.0","346,256.0","425,501.0","609,043.0","494,995.0","426,155.0","459,671.0","365,639.0","385,320.0","396,941.0",
203194000,"SWN MT,FR/CH","360,987.0","407,791.0","397,679.0","407,435.0","490,622.0","538,888.0","558,679.0","581,117.0","821,698.0","819,737.0","869,453.0","954,354.0","1,112,557.0","1,187,323.0","1,122,470.0","1,040,358.0","1,121,515.0","1,199,844.0",
203210000,"SWN CARC,FZ","8,753.0","12,261.0","14,402.0","69,572.0","20,578.0","25,048.0","6,823.0","5,607.0","13,184.0","9,636.0","13,605.0","55,416.0","48,131.0","8,082.0","4,780.0","13,511.0","13,673.0","3,826.0",
203221000,"HM,SH,PRC,FZ","6,775.0","16,797.0","8,479.0","14,032.0","10,657.0","40,022.0","30,317.0","26,175.0","43,919.0","33,014.0","25,670.0","24,307.0","16,629.0","17,667.0","25,172.0","15,986.0","14,080.0","16,940.0",
203229000,"HM/SH,X PRC,FRZ","101,426.0","43,742.0","26,301.0","21,779.0","56,063.0","79,706.0","87,038.0","84,996.0","145,867.0","124,568.0","141,042.0","214,894.0","200,408.0","153,219.0","191,556.0","183,510.0","225,317.0","184,610.0",
203292000,"SWN MT,NE,PRC,FZ","44,684.0","83,393.0","68,717.0","56,733.0","60,082.0","85,091.0","114,001.0","157,010.0","256,957.0","297,371.0","280,538.0","352,802.0","174,534.0","198,682.0","364,895.0","349,690.0","303,404.0","283,642.0",
203294000,"SWN MT, FRZ","225,682.0","357,997.0","305,163.0","323,325.0","472,021.0","634,710.0","704,397.0","911,988.0","1,621,042.0","1,110,170.0","1,262,841.0","1,937,392.0","2,095,604.0","1,755,457.0","1,927,156.0","1,411,113.0","1,394,770.0","1,641,577.0",
206300000,"SWN OFL,ED,FR,CH","5,846.0","8,918.0","20,908.0","19,935.0","40,110.0","33,473.0","35,567.0","23,630.0","28,328.0","45,901.0","77,104.0","65,159.0","69,858.0","69,022.0","68,054.0","56,502.0","41,683.0","54,615.0",
206410000,"SWN LVR,ED,FZ","4,306.0","2,550.0","1,261.0","1,219.0",588.0,"4,574.0","1,145.0",852.0,"2,934.0","1,577.0",599.0,"1,594.0","3,582.0","1,078.0","1,234.0",982.0,209.0,899.0,
206490010,"SWN OFL,FZ,TNGUE","6,556.0","9,958.0","8,011.0","7,264.0","12,427.0","14,550.0","16,424.0","18,427.0","24,132.0","26,603.0","30,572.0","38,656.0","39,694.0","47,296.0","65,411.0","57,710.0","46,594.0","57,016.0",
206490020,"SWN OFL,FZ,HEART","2,509.0","6,238.0","2,648.0","2,588.0","3,300.0","4,091.0","3,620.0","4,995.0","10,029.0","9,757.0","5,556.0","13,237.0","20,018.0","20,232.0","19,220.0","11,069.0","16,699.0","17,482.0",
206490030,"SWN OFL,FZ,FEET","4,382.0","8,438.0","5,468.0","6,763.0","13,182.0","19,883.0","17,195.0","28,570.0","45,738.0","46,249.0","46,839.0","95,677.0","188,827.0","224,448.0","193,184.0","193,035.0","306,096.0","388,557.0",
206490040,"SWN OFL,FZ,HDMT",296.0,836.0,451.0,578.0,"1,478.0","3,832.0","2,979.0","5,475.0","10,092.0","8,096.0","12,109.0","13,257.0","9,417.0","6,049.0","10,726.0","25,083.0","68,449.0","50,810.0",
206490050,"SWN OFL,FZ,RIND","7,617.0","12,079.0","9,804.0","11,336.0","20,016.0","19,072.0","16,191.0","17,584.0","16,440.0","28,511.0","34,126.0","35,996.0","27,804.0","24,814.0","40,781.0","20,527.0","23,411.0","20,236.0",
206490090,"SWN OFL,FZ,OTHER","59,099.0","59,422.0","52,094.0","50,949.0","109,178.0","98,761.0","90,740.0","110,561.0","282,917.0","301,378.0","266,337.0","310,971.0","298,200.0","294,961.0","304,852.0","210,657.0","265,108.0","270,039.0",
210110000,"HM,SH,ST,DR,SMK","14,505.0","22,186.0","17,886.0","21,382.0","18,748.0","20,249.0","17,480.0","16,506.0","18,753.0","77,439.0","152,414.0","160,410.0","38,968.0","37,892.0","36,824.0","43,628.0","42,862.0","46,139.0",
210120020,BACON,"22,873.0","23,227.0","39,207.0","36,795.0","49,317.0","52,161.0","56,509.0","48,029.0","69,455.0","71,504.0","87,365.0","114,678.0","123,663.0","121,468.0","130,714.0","143,148.0","143,311.0","161,568.0",
210120040,"BL,CT.SW,ST,DR,S","9,963.0","9,891.0","6,852.0","12,142.0","11,527.0","8,955.0","11,549.0","10,354.0","7,038.0","7,519.0","7,138.0","6,453.0","5,252.0","4,234.0","4,933.0","3,959.0","4,506.0","3,064.0",
210190000,"SWN NE,ST,DR,SM","18,717.0","22,482.0","40,525.0","42,780.0","62,355.0","62,582.0","84,751.0","50,727.0","38,938.0","32,213.0","53,704.0","51,959.0","72,010.0","73,274.0","41,922.0","52,427.0","52,907.0","41,917.0",
504000020,"HG GUT,BLAD,STM","42,779.0","43,402.0","39,457.0","62,293.0","74,799.0","94,342.0","105,907.0","125,269.0","209,331.0","183,528.0","175,438.0","155,474.0","148,117.0","161,500.0","170,950.0","184,625.0","207,593.0","286,184.0",
504000080,"PK INT,FZ,X SSGC","6,260.0","13,390.0","13,008.0","19,838.0","63,120.0","51,538.0","53,113.0","54,666.0","65,986.0","44,348.0","43,359.0","52,799.0","46,707.0","50,693.0","26,631.0","16,251.0","7,651.0","6,835.0",
1602411000,"PREP MEALS,HAM",904.0,"1,562.0","1,881.0",748.0,"2,220.0","3,842.0","2,438.0","2,551.0","9,188.0","5,866.0","8,595.0","7,631.0","6,873.0","5,503.0","10,319.0","9,273.0","12,676.0","13,547.0",
1602412000,"HM,CT,BND,CK","1,498.0","1,968.0","1,032.0",920.0,"1,108.0","1,723.0","3,585.0","2,871.0","8,125.0","10,666.0","15,268.0","18,757.0","16,372.0","17,884.0","20,292.0","26,371.0","29,137.0","24,223.0",
1602419000,"HM.CT.NE,PRP,PRS","8,382.0","13,844.0","12,127.0","15,067.0","14,336.0","17,470.0","15,797.0","17,159.0","32,601.0","46,850.0","37,864.0","40,034.0","55,341.0","87,960.0","94,473.0","65,568.0","52,826.0","55,998.0",
1602422000,"SH,CT,BND,CK,CTR","10,765.0","10,288.0","10,913.0","10,958.0","2,231.0",192.0,291.0,236.0,675.0,730.0,300.0,572.0,"1,219.0","1,729.0","13,408.0","19,970.0","20,163.0","17,035.0",
1602424000,"SH,CT NE,PRP,PRS","3,834.0","4,682.0","1,120.0",782.0,819.0,"1,149.0",723.0,853.0,"1,672.0","2,549.0","7,615.0","8,174.0","13,742.0","11,948.0","15,376.0","12,165.0","13,148.0","10,052.0",
1602491000,"SWN OFF,PRP,PRES","1,275.0","5,237.0","7,305.0","6,065.0","10,988.0","12,830.0","10,550.0","11,700.0","12,353.0","8,264.0","7,639.0","4,582.0","14,884.0","13,925.0","16,134.0","10,125.0","17,039.0","19,331.0",
1602492000,SW MT NE BND/CK,"3,609.0","5,086.0","5,241.0","4,426.0","20,751.0","26,055.0","34,348.0","39,289.0","54,372.0","58,366.0","67,072.0","75,655.0","83,558.0","92,352.0","92,559.0","99,408.0","81,138.0","85,640.0",
1602494000,"SWN NE,PRP,PRS","5,247.0","3,826.0","16,291.0","7,979.0","4,396.0",681.0,838.0,"7,720.0","3,180.0","3,408.0","6,784.0","6,991.0","6,692.0","6,261.0","10,650.0","9,752.0","7,874.0","4,180.0",
1602497000,"SWN MT PRP,PR,NE","17,918.0","18,127.0","17,723.0","31,267.0","45,938.0","50,293.0","54,617.0","69,933.0","81,346.0","89,941.0","108,151.0","145,133.0","192,639.0","244,007.0","294,603.0","264,936.0","275,978.0","290,893.0",
,Hides and skins,"1,561.7","1,962.7","1,745.3","1,782.0","1,745.0","1,776.6","2,045.5","2,165.9","2,064.1","1,464.9","2,284.3","2,662.6","2,783.8","3,134.0","2,924.7","2,434.9","1,919.9","1,887.9",
4101100000,BOV HIDES WHOLE,"54,562.0","40,933.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4101201010,"BV H/S, WHOLE",0.0,0.0,"296,268.0","320,361.0","294,711.0","165,292.0","193,205.0","367,278.0","319,573.0","182,600.0","382,918.0","318,412.0","175,173.0","124,111.0","80,749.0","58,306.0","53,517.0","119,054.0",
4101201020,"EQN H/S, WHOLE",0.0,0.0,"79,565.0","69,569.0","45,213.0","51,219.0","58,036.0","44,502.0","63,094.0","58,315.0","362,160.0","420,854.0","421,201.0","452,033.0","365,923.0","272,352.0","33,161.0","16,851.0",
4101202000,BV RAW H/S U/L,0.0,0.0,906.0,227.0,"8,321.0",260.0,140.0,64.0,40.0,189.0,123.0,"2,420.0",674.0,69.0,64.0,140.0,196.0,46.0,
4101203000,BV H/S >28 SQFT,0.0,0.0,"1,169.0","4,924.0","4,036.0","4,375.0","1,101.0","2,243.0",847.0,"1,329.0",12.0,67.0,7.0,15.0,36.0,116.0,65.0,6.0,
4101203500,BFFLO WH H/S PVD,0.0,0.0,164.0,0.0,67.0,149.0,95.0,26.0,170.0,238.0,"9,755.0","7,953.0","7,014.0","4,747.0","4,115.0","2,713.0","2,843.0",71.0,
4101204000,BV H/S VG PT<8,0.0,0.0,120.0,82.0,52.0,238.0,51.0,0.0,"2,679.0","1,920.0","2,390.0",400.0,0.0,3.0,48.0,14.0,0.0,0.0,
4101205000,BV WH NOVG PT OT,0.0,0.0,805.0,229.0,"3,440.0",69.0,479.0,"3,440.0","5,117.0",75.0,"1,198.0",541.0,20.0,0.0,186.0,13.0,252.0,10.0,
4101207000,EQ RAW H/S WH PT,0.0,0.0,"1,318.0","1,274.0",438.0,528.0,252.0,200.0,"11,601.0","8,598.0",203.0,672.0,304.0,500.0,192.0,556.0,443.0,205.0,
4101210020,"CTTL HD WH,F,W-S","1,156,687.0","1,453,937.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4101210040,HD/SK BV A WH FR,"36,507.0","16,929.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4101220000,"BUTT,BND,BV,F,WS","2,452.0","3,468.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4101290000,"HD&SK BOV FR,W-S","3,367.0","11,657.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4101300000,HD&SK BOV NESOI,"27,571.0","28,793.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4101400000,"EQN HD&SK F,S,DR","61,588.0","153,568.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4101501010,"CTLE H/S, WHOLE",0.0,0.0,"1,028,722.0","1,051,909.0","1,055,430.0","1,111,200.0","1,218,780.0","1,156,453.0","953,751.0","602,050.0","917,523.0","1,095,365.0","1,163,687.0","1,326,060.0","1,439,096.0","1,216,214.0","1,050,223.0","1,078,169.0",
