U.S. exports of total animal products 1/,,,,,,,,,,,,,,,,,,,,U.S. agricultural exports of total animal products 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,"Top ten states, 2017",,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank,Top 10,Billion $,,,,,,,,,
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,734.8,809.2,756.2,836.9,901.2,"1,120.3","1,269.3","1,488.7","2,145.7","1,859.2","2,204.9","2,828.4","2,988.3","3,185.9","3,560.7","2,914.6","2,928.6","3,226.0",,Colorado,389.0,403.2,416.9,429.0,235.2,267.1,352.1,418.1,520.9,448.2,532.0,619.9,663.5,716.9,721.0,652.8,595.0,685.8,,15,,,,,,,,,,,
Kansas,652.6,665.6,643.7,725.9,355.1,452.5,585.7,699.4,831.7,712.9,973.0,"1,212.4","1,206.2","1,274.1","1,354.8","1,185.0","1,230.8","1,369.1",,South Dakota,241.8,275.0,260.8,267.4,186.6,221.4,280.0,310.4,409.5,345.0,488.0,591.8,607.1,642.3,692.0,550.8,584.1,660.5,,16,,,,,,,,,,,
Kentucky,637.7,537.1,457.6,482.9,496.7,546.5,617.6,764.4,345.5,320.6,395.8,476.7,512.5,794.0,750.8,624.8,601.3,717.7,,Arkansas,389.0,432.1,351.3,363.7,380.4,460.6,421.3,556.5,699.8,621.4,644.7,727.1,769.0,779.7,771.4,574.7,589.0,650.3,,17,,,,,,,,,,,
Louisiana,95.5,114.8,101.3,103.5,96.4,115.1,113.9,148.9,242.1,199.7,258.7,307.4,281.5,239.1,248.0,211.7,192.6,217.6,,Idaho,162.6,192.6,192.3,202.0,150.7,176.1,212.7,314.1,396.3,283.2,425.5,552.0,595.7,742.2,775.3,617.7,593.8,645.0,,18,,,,,,,,,,,
Maine,81.0,82.6,64.4,60.3,61.3,56.5,60.2,56.1,45.6,44.1,74.5,89.5,86.1,83.6,77.4,67.4,62.7,73.0,,Ohio,178.6,195.1,171.9,189.2,196.7,223.9,254.3,324.4,438.3,374.8,491.5,601.8,644.7,683.3,723.7,617.2,546.5,639.3,,19,,,,,,,,,,,
Maryland,99.3,105.9,88.1,74.5,76.4,95.2,95.1,134.3,160.9,133.3,143.7,181.7,205.3,209.7,200.8,161.3,152.7,165.3,,Illinois,206.5,243.6,224.8,249.8,244.5,269.5,283.3,331.1,451.2,400.6,493.3,601.1,618.4,635.3,682.5,530.5,555.8,611.5,,20,,,,,,,,,,,
Massachussetts,14.7,15.5,13.8,13.8,12.6,14.5,16.0,28.6,22.2,20.2,28.6,35.2,34.8,32.4,31.9,26.6,26.2,29.2,,Michigan,126.4,136.6,124.3,129.8,147.5,163.0,187.2,275.8,352.2,263.7,379.6,487.5,495.7,599.6,628.8,515.0,468.8,546.8,,21,,,,,,,,,,,
Michigan,126.4,136.6,124.3,129.8,147.5,163.0,187.2,275.8,352.2,263.7,379.6,487.5,495.7,599.6,628.8,515.0,468.8,546.8,,Alabama,321.1,341.7,282.0,330.3,324.5,382.5,354.9,469.2,575.9,526.4,550.6,641.6,689.2,699.8,694.0,517.1,492.6,544.8,,22,,,,,,,,,,,
Minnesota,412.0,490.7,436.2,494.0,539.2,637.2,703.5,858.9,"1,200.3","1,039.3","1,247.6","1,482.6","1,593.0","1,610.5","1,815.8","1,394.1","1,446.5","1,599.5",,New York,156.2,165.9,151.4,124.9,141.8,163.2,176.1,262.9,340.4,232.9,359.5,466.5,498.5,602.2,641.8,501.6,453.6,516.7,,23,,,,,,,,,,,
Mississippi,332.4,348.9,288.7,292.5,308.2,364.5,341.0,436.2,527.4,474.3,507.4,568.8,588.4,574.6,554.9,428.9,423.5,462.3,,Mississippi,332.4,348.9,288.7,292.5,308.2,364.5,341.0,436.2,527.4,474.3,507.4,568.8,588.4,574.6,554.9,428.9,423.5,462.3,,24,,,,,,,,,,,
